accession	gene	description	ppid	organism	logFC	AveExpr	t	P.Value	adj.P.Val	B	count	sca.t	sca.P.Value	sca.adj.pval
A0A024R0K5	CEACAM5	A0A024R0K5_HUMAN Carcinoembryonic antigen-related cell adhesion molecule 5 	UP000005640	Homo sapiens	-0.002002280724516581	1.0415698731036798	-0.00983469404844917	0.9921873686346293	0.9936428880723469	-5.860859016172567	9.0	-0.010031610017678563	0.9920300839380052	0.993533472045643
A0A075B6P5	IGKV2-28	KV228_HUMAN Immunoglobulin kappa variable 2-28 	UP000005640	Homo sapiens	0.2582112545733888	0.40312860711057824	0.7664884264702132	0.4465350111990726	0.866878672591923	-5.587305788804046	2.0	0.7684219313405551	0.44531710297795657	0.8635285138550564
A0A075B6S5	IGKV1-27	KV127_HUMAN Immunoglobulin kappa variable 1-27 	UP000005640	Homo sapiens	0.5109008321916049	-1.368511649034005	1.038004709455773	0.30363236946092415	0.8458118359040014	-5.36142440591032	1.0	1.0394814221847284	0.30284369235926195	0.8497266170127331
A0A087WT59	TTR	A0A087WT59_HUMAN Transthyretin 	UP000005640	Homo sapiens	0.27517133342909206	0.36155955520259064	1.2934807022503556	0.20103976603059368	0.8458118359040014	-5.089563662826994	8.0	1.3160980229418473	0.1932575926518668	0.8497266170127331
A0A0A0MRA3	TTN	A0A0A0MRA3_HUMAN Titin 	UP000005640	Homo sapiens	1.159578741425798	1.1515746886178908	3.5287186243663644	0.0008311439106656379	0.17620250906111523	-0.6286567521055915	3.0	3.5391633943530447	0.000792528962854391	0.1680161401251309
A0A0A0MSN4	ACE	A0A0A0MSN4_HUMAN Angiotensin-converting enzyme 	UP000005640	Homo sapiens	0.04167798344114959	0.82083903120483	0.28232069880802957	0.7787158162272261	0.9783384049837692	-5.823608702400348	12.0	0.2927027523938525	0.7707815508299525	0.9726529093806543
A0A0B4J1V1	IGHV3-21	HV321_HUMAN Immunoglobulin heavy variable 3-21 	UP000005640	Homo sapiens	0.596684081616593	1.6692014106721467	1.1422332052405282	0.2581120241468686	0.8458118359040014	-5.25735375686786	1.0	1.1452706758375797	0.25674504314069097	0.8497266170127331
A0A0B4J231	IGLL5	A0A0B4J231_HUMAN Immunoglobulin lambda like polypeptide 5 	UP000005640	Homo sapiens	0.3514343498491277	2.8349568679168247	0.6845453524702777	0.4963929786724762	0.8918246735471608	-5.642435065875142	2.0	0.6901764543097125	0.4928031128058812	0.8929423924345882
A0A0C4DFQ8	ASAH2	A0A0C4DFQ8_HUMAN Neutral ceramidase 	UP000005640	Homo sapiens	-0.15380365294382883	-0.2543194415560047	-0.641605649140089	0.5236899773119916	0.9142757001237481	-5.6688809955821675	6.0	-0.6499782991974177	0.5182419567833747	0.9165563992451725
A0A0C4DGB6	ALB	A0A0C4DGB6_HUMAN Albumin 	UP000005640	Homo sapiens	-0.102314313144515	0.6475813439285917	-0.33235575587056815	0.7408345546022472	0.9692997591708501	-5.8092325946538255	1.0	-0.3272823139065983	0.7446186878200327	0.9684611154469137
