accession	gene	description	ppid	organism	logFC	AveExpr	t	P.Value	adj.P.Val	B	count	sca.t	sca.P.Value	sca.adj.pval
A0A024QZ42	PDCD6	A0A024QZ42_HUMAN HCG1985580, isoform CRA_c 	UP000005640	Homo sapiens	-0.7934524512926864	-1.7331064088290453	-1.220206091258223	0.2277847641110849	0.5237045925435548	-5.36171676428074	1.0	-1.250015144355195	0.21620469790166158	0.50629761366175
A0A024QZX5	SERPINB6	A0A024QZX5_HUMAN Serpin family B member 6 	UP000005640	Homo sapiens	0.0349838488229188	0.22339378176188573	0.14761513983002977	0.8832062789413095	0.9535197885269284	-6.059563178987236	28.0	0.156693225643173	0.8760188903657519	0.9499969035493665
A0A024R0K5	CEACAM5	A0A024R0K5_HUMAN Carcinoembryonic antigen-related cell adhesion molecule 5 	UP000005640	Homo sapiens	-0.0937688084107764	1.1147146772064882	-0.5311572406161386	0.5975274105821922	0.7996794529362724	-5.934259523150846	27.0	-0.5655891385497844	0.5738070350098328	0.7936236603618582
A0A024R6I7	SERPINA1	A0A024R6I7_HUMAN Alpha-1-antitrypsin 	UP000005640	Homo sapiens	1.1035175434167495	3.244088179882321	3.763842211139975	0.0004201838095469026	0.046724439621615564	-0.04899540813833436	8.0	3.931626247980747	0.00022339357215738542	0.02484136522390126
A0A069S4N3	M099_3837	A0A069S4N3_PHOVU Hsp20/alpha crystallin family protein 	UP000002861	Phocaeicola vulgatus dnLKV7	0.1799682146556436	4.083048555689392	0.5508946888163879	0.584019205023774	0.7996794529362724	-5.924008768852933	1.0	0.5191091983023807	0.6056166626345858	0.8057039560612436
A0A075B6H7	IGKV3-7	KV37_HUMAN Probable non-functional immunoglobulin kappa variable 3-7 	UP000005640	Homo sapiens	0.5828127601510475	-1.994640808452855	1.217876013438584	0.22866177873297314	0.5237045925435548	-5.364380639696253	1.0	1.216414460022265	0.22864674805015647	0.517904032120076
A0A075B6I0	IGLV8-61	LV861_HUMAN Immunoglobulin lambda variable 8-61 	UP000005640	Homo sapiens	0.2076831696275565	1.9151729042600834	0.4692276928299332	0.6408302319555614	0.8266858676735316	-5.964019941242391	1.0	0.46445319978541316	0.644023838345751	0.829565038883785
A0A075B6I9	IGLV7-46	LV746_HUMAN Immunoglobulin lambda variable 7-46 	UP000005640	Homo sapiens	0.29337858678693884	0.00949717084904076	1.0253143310426867	0.3098688625393233	0.594335465796522	-5.567791318379877	2.0	1.016364857619258	0.3135846288563477	0.5920554843390068
A0A075B6J9	IGLV2-18	LV218_HUMAN Immunoglobulin lambda variable 2-18 	UP000005640	Homo sapiens	1.553571685273135	3.4013414744538957	2.0910811062070636	0.04132750064490307	0.2671870971926292	-4.045966111388919	1.0	2.1577221808686944	0.03501093449566449	0.2599045945650538
A0A075B6K4	IGLV3-10	LV310_HUMAN Immunoglobulin lambda variable 3-10 	UP000005640	Homo sapiens	0.6438599183517697	0.40105343915324304	1.2825870892608884	0.20521426214302993	0.5111735233589723	-5.288620672576694	1.0	1.2873950099050664	0.20295871606002078	0.50629761366175
