accession	gene	description	ppid	organism	logFC	AveExpr	t	P.Value	adj.P.Val	B	count	sca.t	sca.P.Value	sca.adj.pval
A0A024QZX5	SERPINB6	A0A024QZX5_HUMAN Serpin family B member 6 	UP000005640	Homo sapiens	0.20456046618299628	1.1258336470716959	1.2627657407894066	0.21171107633199904	0.7902526998845427	-4.770441798451383	43.0	1.3674169626524972	0.17630785475236277	0.7573654620813863
A0A024R0K5	CEACAM5	A0A024R0K5_HUMAN Carcinoembryonic antigen-related cell adhesion molecule 5 	UP000005640	Homo sapiens	0.11066866563438493	1.469761293452482	0.5818475753880468	0.5629171791507708	0.9431474705046261	-5.2747780680563	31.5	0.6186244576741025	0.5383731865061491	0.9407593967294963
A0A024R6I7	SERPINA1	A0A024R6I7_HUMAN Alpha-1-antitrypsin 	UP000005640	Homo sapiens	1.2270452840673811	0.9727420434803046	2.862402892528399	0.005834936736127243	0.3330081751546905	-2.3152665946115847	19.0	2.9930008697073602	0.003929967204115037	0.2616703163406595
A0A075B6H9	IGLV4-69	LV469_HUMAN Immunoglobulin lambda variable 4-69 	UP000005640	Homo sapiens	0.5620702126123178	1.4294800591113779	1.8605572250053695	0.06786295627102255	0.628842919889383	-4.04377731417877	2.0	1.8537253153770137	0.06841729966453426	0.6648029814435513
A0A075B6I4	IGLV10-54	LVX54_HUMAN Immunoglobulin lambda variable 10-54 	UP000005640	Homo sapiens	0.07145860980960372	1.3243849971181785	0.2299410594273433	0.8189441021047423	0.9650978430408395	-5.391294519806961	1.0	0.21868758406252084	0.8275936660667986	0.9695708785738595
A0A075B6I9	IGLV7-46	LV746_HUMAN Immunoglobulin lambda variable 7-46 	UP000005640	Homo sapiens	0.6763269508374772	0.9715753413354249	2.515129778500865	0.014683132626450067	0.510079259501461	-2.979089678150039	2.0	2.4762419352150893	0.015949580650046292	0.47198944219951805
A0A075B6J9	IGLV2-18	LV218_HUMAN Immunoglobulin lambda variable 2-18 	UP000005640	Homo sapiens	2.0049853397146453	1.1564387459251324	3.3890438716263245	0.0012644684562603604	0.2651704947435029	-1.1985991409276116	1.0	3.445613790432359	0.0010143286605512553	0.19060330561704358
A0A075B6K4	IGLV3-10	LV310_HUMAN Immunoglobulin lambda variable 3-10 	UP000005640	Homo sapiens	0.6911885293168243	0.26107211627203925	1.7488028452817075	0.08559930021762778	0.6558315077928429	-4.198503234556187	2.0	1.7766594263648556	0.08040670138053561	0.6692182750317495
A0A075B6K5	IGLV3-9	LV39_HUMAN Immunoglobulin lambda variable 3-9 	UP000005640	Homo sapiens	-0.01067330067984551	-0.6136427181882188	-0.03571208158001276	0.9716341837579845	0.9902736346471502	-5.412412212596881	3.0	-0.03571690868739846	0.9716199548770144	0.989761422731681
A0A075B6P5	IGKV2-28	KV228_HUMAN Immunoglobulin kappa variable 2-28 	UP000005640	Homo sapiens	0.06738013849661031	-0.16255465416240736	0.2879418411802118	0.7744145042124178	0.9587629026958691	-5.379011105681184	13.0	0.2981914479180832	0.7665290671869732	0.9606980075734799
A0A075B6Q5	IGHV3-64	HV364_HUMAN Immunoglobulin heavy variable 3-64 	UP000005640	Homo sapiens	-0.11910554884751855	0.2153202264295526	-0.5021515593055563	0.6174561539639248	0.9431474705046261	-5.309941892500695	3.0	-0.49013171328380395	0.6257272929178547	0.9407593967294963
A0A075B6R2	IGHV4-4	HV404_HUMAN Immunoglobulin heavy variable 4-4 	UP000005640	Homo sapiens	-0.2854037536509925	0.2923292997883796	-0.7842889860675861	0.4360521956092238	0.9382616131669977	-5.162623847411044	2.0	-0.7928162562023829	0.4308325062775369	0.9358210538652814
A0A075B6R9	IGKV2D-24	KVD24_HUMAN Probable non-functional immunoglobulin kappa variable 2D-24 	UP000005640	Homo sapiens	0.2016788025075572	0.4906406566287452	0.5148148694302908	0.6086327515216157	0.9431474705046261	-5.304696103790544	3.0	0.5242772746948553	0.6019081994241172	0.9407593967294963
A0A075B6S2	IGKV2D-29	KVD29_HUMAN Immunoglobulin kappa variable 2D-29 	UP000005640	Homo sapiens	0.02030098857281981	-1.4964393846003383	0.06866919951646873	0.9454883995989292	0.9850193965553059	-5.411003559647425	2.0	0.06827848803578933	0.9457781586965046	0.9851556290367592
A0A075B6S5	IGKV1-27	KV127_HUMAN Immunoglobulin kappa variable 1-27 	UP000005640	Homo sapiens	-0.28325638158363464	0.99731836674955	-1.3986168404262636	0.16723601538383873	0.7382407529927466	-4.627617331249087	18.0	-1.4603330109670725	0.1491210863196205	0.720423642441803
A0A075B6S6	IGKV2D-30	KVD30_HUMAN Immunoglobulin kappa variable 2D-30 	UP000005640	Homo sapiens	-0.02828163138884876	-1.3052421435426584	-0.06043378113706642	0.9520172705853063	0.986591179244695	-5.41143891460798	3.0	-0.06202218503089769	0.9507396690368188	0.9863674362152504
A0A075B6S9	IGKV1-37	KV137_HUMAN Probable non-functional immunoglobulinn kappa variable 1-37 	UP000005640	Homo sapiens	0.12493455896580496	-0.6762580549744792	0.3684004970839799	0.7139117171602194	0.9475339900515204	-5.357434261081563	2.0	0.37058069475297595	0.7121812713859508	0.9482490888307415
A0A075B7B8	IGHV3OR16-12	A0A075B7B8_HUMAN Immunoglobulin heavy variable 3/OR16-12 (non-functional) (Fragment) 	UP000005640	Homo sapiens	-0.5948388610657844	1.1034877883661611	-1.6280242180921944	0.10892362722288956	0.6763912448324441	-4.356201791298952	2.0	-1.6461571507350763	0.10466472384002214	0.671347260758994
A0A075B7D0	IGHV1OR15-1	A0A075B7D0_HUMAN Immunoglobulin heavy variable 1/OR15-1 (non-functional) (Fragment) 	UP000005640	Homo sapiens	-0.09315717040928861	0.7156854964959061	-0.3589791585241281	0.720910178675326	0.951439148891028	-5.3602329452937285	2.0	-0.35196188685602925	0.726030381311529	0.951425645618182
