accession	gene	description	ppid	organism	logFC	AveExpr	t	P.Value	adj.P.Val	B	count	sca.t	sca.P.Value	sca.adj.pval
A0A024R0K5	CEACAM5	A0A024R0K5_HUMAN Carcinoembryonic antigen-related cell adhesion molecule 5 	UP000005640	Homo sapiens	0.15069645624454786	1.1084594404142185	0.6452340075464285	0.5223585821057815	0.8516374142038584	-5.025427982020744	12.0	0.6696500273798094	0.5067029894129172	0.8438492098304367
A0A075B6P5	IGKV2-28	KV228_HUMAN Immunoglobulin kappa variable 2-28 	UP000005640	Homo sapiens	-0.33895135364072015	0.10045382842059009	-0.916151362037091	0.3649277925477623	0.8516374142038584	-4.880297537340836	2.0	-0.9145920908290793	0.36556583283629607	0.8438492098304367
A0A075B6S5	IGKV1-27	KV127_HUMAN Immunoglobulin kappa variable 1-27 	UP000005640	Homo sapiens	-0.13092272352702472	-1.732121027835107	-0.25441646780077587	0.8004414720124112	0.9603834123480739	-5.147550244086074	1.0	-0.2539568612264941	0.8007535348344715	0.9603551465026197
A0A087WT59	TTR	A0A087WT59_HUMAN Transthyretin 	UP000005640	Homo sapiens	0.5461049302373473	0.43450249396654317	2.182125746838842	0.0348664200716625	0.8169113563995153	-3.6208729289041006	8.0	2.240061393098397	0.03037168822997249	0.804849738094271
A0A0A0MRA3	TTN	A0A0A0MRA3_HUMAN Titin 	UP000005640	Homo sapiens	0.4220238077276476	0.639786539438566	1.1270241231934208	0.26626427385240753	0.8516374142038584	-4.7344488426228	3.0	1.1279543456331185	0.26566678369553365	0.8420776037464316
A0A0A0MSN4	ACE	A0A0A0MSN4_HUMAN Angiotensin-converting enzyme 	UP000005640	Homo sapiens	0.3474644083092746	0.9472910857877729	1.9045517392797113	0.06384784960800513	0.8270323279849913	-3.9699244417683217	12.0	2.003986356456571	0.05147198874247486	0.8055610551181117
A0A0B4J1V1	IGHV3-21	HV321_HUMAN Immunoglobulin heavy variable 3-21 	UP000005640	Homo sapiens	-0.7739622027660567	0.9738228220349353	-1.3545900643446784	0.18294254424027342	0.8491534031548059	-4.546222818358917	1.0	-1.3567192488907636	0.18203354171229005	0.8420776037464316
A0A0B4J231	IGLL5	A0A0B4J231_HUMAN Immunoglobulin lambda like polypeptide 5 	UP000005640	Homo sapiens	-0.7389097490661887	2.3020073930297786	-1.2839693355223287	0.20633828455432368	0.8491534031548059	-4.607965275062529	2.0	-1.2953309814613114	0.2021981556343444	0.8420776037464316
A0A0C4DFQ8	ASAH2	A0A0C4DFQ8_HUMAN Neutral ceramidase 	UP000005640	Homo sapiens	-0.17390621225147854	-0.2378425217967622	-0.7250196376250958	0.47254458645599895	0.8516374142038584	-4.987732566461938	7.0	-0.7427645328378619	0.4617102392551904	0.8438492098304367
A0A0C4DGB6	ALB	A0A0C4DGB6_HUMAN Albumin 	UP000005640	Homo sapiens	-0.9650559606223341	0.28830451308248844	-2.525686383465064	0.015493128973183926	0.4692204774735703	-3.142712020366612	1.0	-2.485312021041292	0.01696022789070075	0.5136526161183655
A0A0C4DH31	IGHV1-18	HV118_HUMAN Immunoglobulin heavy variable 1-18 	UP000005640	Homo sapiens	-0.2961301419302038	-0.510406244413568	-0.6593936170897619	0.5133181169919097	0.8516374142038584	-5.01904937003596	1.0	-0.6545589275317856	0.5162786775936608	0.8438492098304367
A0A0C4DH38	IGHV5-51	HV551_HUMAN Immunoglobulin heavy variable 5-51 	UP000005640	Homo sapiens	0.006445403885267931	-1.655058649766995	0.01895191192953722	0.9849711024549277	0.9849711024549277	-5.170056354377532	3.0	0.018906290280547338	0.9850043441695782	0.9850043441695782
A0A0C4DH42	IGHV3-66	HV366_HUMAN Immunoglobulin heavy variable 3-66 	UP000005640	Homo sapiens	-0.3551659925098434	-0.0010608782894565984	-0.5884049162773041	0.5594778453301452	0.8516374142038584	-5.049669394837361	1.0	-0.5902243642842521	0.5581656909167934	0.8438492098304367
A0A0G2JMB2	IGHA2	A0A0G2JMB2_HUMAN Immunoglobulin heavy constant alpha 2 (Fragment) 	UP000005640	Homo sapiens	0.03800165254742527	0.8907145883423003	0.09487786689564111	0.9248725451803899	0.9785236066503957	-5.167031810883718	7.0	0.09671178992329986	0.923409906795242	0.9752680949624183
A0A0G2JMW3	CDHR5	A0A0G2JMW3_HUMAN Cadherin-related family member 5 	UP000005640	Homo sapiens	-0.00897519333770682	-0.05529594389864079	-0.04376652316874499	0.9653022932983588	0.9843668112170272	-5.169511644040232	4.0	-0.043361172886650895	0.965616714817029	0.9841862670250487
A0A0J9YYC8	PRSS2	A0A0J9YYC8_HUMAN Serine protease 2 	UP000005640	Homo sapiens	-0.7191255660285194	0.8944008657108042	-1.5999736121815125	0.11725833715250814	0.8270323279849913	-4.309333530813384	7.0	-1.6299601484302215	0.11050030719758104	0.8077953491685235
A0A0M6WD85	tuf_2	A0A0M6WD85_9FIRM Elongation factor Tu 	UP000018162	[Eubacterium] rectale	-0.4449303300904548	1.5818135402257036	-0.6712286280845209	0.5058271235971845	0.8516374142038584	-5.013614664710062	2.0	-0.6784197321756589	0.5011831113619277	0.8438492098304367
A0A0M6WM27	FYL37_07835	A0A0M6WM27_9FIRM GGGtGRT protein 	UP000018162	[Eubacterium] rectale	0.03070520954420336	0.28656972801514036	0.10496648117878025	0.9169126043114102	0.9785236066503957	-5.166326366156687	1.0	0.10106936710484864	0.9199707095073684	0.9752680949624183
A0A182DWF7	MUC3A	A0A182DWF7_HUMAN Mucin 3A, cell surface associated (Fragment) 	UP000005640	Homo sapiens	0.10968004176486579	0.5092045043682051	0.40793320486505413	0.6854383821140173	0.9082058563010729	-5.11209198141177	1.0	0.3891338472566557	0.6991200969047309	0.9205805002720681
