accession	gene	description	ppid	organism	logFC	AveExpr	t	P.Value	adj.P.Val	B	count	sca.t	sca.P.Value	sca.adj.pval
A0A024QZ42	PDCD6	A0A024QZ42_HUMAN HCG1985580, isoform CRA_c 	UP000005640	Homo sapiens	-0.42660286809933257	-1.584598623932626	-1.0186628533182516	0.3120703495758686	0.6494160936569979	-5.4666192816475565	1.0	-1.0136347494256193	0.3141187529688228	0.6565504230854571
A0A024QZX5	SERPINB6	A0A024QZX5_HUMAN Serpin family B member 6 	UP000005640	Homo sapiens	-0.23832230589931247	0.05766932434106026	-1.2454187638809884	0.2173667053357838	0.5543848081041092	-5.228205139083563	31.0	-1.314596191274149	0.19277782867782983	0.530616201707294
A0A024R0K5	CEACAM5	A0A024R0K5_HUMAN Carcinoembryonic antigen-related cell adhesion molecule 5 	UP000005640	Homo sapiens	0.12963647910395237	1.2437256113111104	0.8362959211344593	0.4059961103068924	0.7587946020236782	-5.6247777065866345	20.0	0.8804941886872922	0.381493157691862	0.7390599152497396
A0A024R6I7	SERPINA1	A0A024R6I7_HUMAN Alpha-1-antitrypsin 	UP000005640	Homo sapiens	0.8512794366347296	3.197241565698539	2.4156349841455014	0.018474394950250887	0.2776152322253917	-3.3108632421789204	8.0	2.5141803550197404	0.014144608909802557	0.23650982537099846
A0A069S4N3	M099_3837	A0A069S4N3_PHOVU Hsp20/alpha crystallin family protein 	UP000002861	Phocaeicola vulgatus dnLKV7	0.32563031710377865	4.191045756561273	1.0166334406420312	0.3130279012591285	0.6494160936569979	-5.46854528301871	1.0	0.978149915778494	0.3312439804096402	0.6737536027151717
A0A075B6H7	IGKV3-7	KV37_HUMAN Probable non-functional immunoglobulin kappa variable 3-7 	UP000005640	Homo sapiens	0.9324207930705939	-1.720490571830556	1.908406505963127	0.06067482480641966	0.37992096902857636	-4.276725874711514	1.0	1.924190535111387	0.05824510144370434	0.3978001164475536
A0A075B6I0	IGLV8-61	LV861_HUMAN Immunoglobulin lambda variable 8-61 	UP000005640	Homo sapiens	-0.17431928477957603	1.699265717856874	-0.5297314855205394	0.5980697312470149	0.8557250428176295	-5.8217543076171046	1.0	-0.5117930139708253	0.6103470264150548	0.8591213840171403
A0A075B6I9	IGLV7-46	LV746_HUMAN Immunoglobulin lambda variable 7-46 	UP000005640	Homo sapiens	0.5199330344999702	0.1788036127912427	1.9695896079182629	0.05307084896768777	0.37992096902857636	-4.170685164697188	2.0	1.9508144495443356	0.05493367597522824	0.3978001164475536
A0A075B6J9	IGLV2-18	LV218_HUMAN Immunoglobulin lambda variable 2-18 	UP000005640	Homo sapiens	0.666601582054708	3.0061423203362088	1.0645856907952254	0.29092994504720476	0.635862391883234	-5.422044953993261	1.0	1.0892697365843473	0.2796325446910831	0.63151700133107
A0A075B6K4	IGLV3-10	LV310_HUMAN Immunoglobulin lambda variable 3-10 	UP000005640	Homo sapiens	0.5608953780852552	0.41346722994881413	1.2245317700919538	0.22509008707895098	0.5587245184140593	-5.252075599375271	1.0	1.2284136434410802	0.2232536482476572	0.5658594072597979
A0A075B6K5	IGLV3-9	LV39_HUMAN Immunoglobulin lambda variable 3-9 	UP000005640	Homo sapiens	0.312536159498916	-1.81356776023941	0.8286342747696355	0.410288123337495	0.7587946020236782	-5.630758278085067	1.0	0.8152854767743501	0.41757190549089884	0.7652931381490954
A0A075B6P5	IGKV2-28	KV228_HUMAN Immunoglobulin kappa variable 2-28 	UP000005640	Homo sapiens	0.7254009356282545	2.2973845196607288	2.098223724334367	0.03970404668283861	0.35040396755013126	-3.938178541018524	3.0	2.144407285437209	0.035343530864541395	0.3268144906576832
A0A075B6R9	IGKV2D-24	KVD24_HUMAN Probable non-functional immunoglobulin kappa variable 2D-24 	UP000005640	Homo sapiens	0.18990176511590906	0.7227144889020146	0.6720152371132201	0.5039119229914445	0.8272994875600475	-5.741167988887252	2.0	0.6701651697191165	0.5048757497085176	0.8272204921284546
A0A075B6S2	IGKV2D-29	KVD29_HUMAN Immunoglobulin kappa variable 2D-29 	UP000005640	Homo sapiens	0.7294344034934681	-0.6660688714762815	1.3064445529687314	0.195920834048635	0.5314695118520518	-5.156267064716286	1.0	1.3288161633685032	0.18806434700550137	0.5291641278808905
A0A075B6S5	IGKV1-27	KV127_HUMAN Immunoglobulin kappa variable 1-27 	UP000005640	Homo sapiens	0.4116568110738228	0.8061899599607854	1.6316720838898822	0.10749563737394363	0.45803724005100915	-4.718674733536247	8.0	1.687603439586439	0.09577354685066548	0.4684076092911699
A0A075B6S6	IGKV2D-30	KVD30_HUMAN Immunoglobulin kappa variable 2D-30 	UP000005640	Homo sapiens	0.6861904688439266	2.4981418468203693	1.8375400249855396	0.07061702811911608	0.3849320356296916	-4.395824681324962	2.0	1.870490711520431	0.06544097624509572	0.3978001164475536
A0A075B6S9	IGKV1-37	KV137_HUMAN Probable non-functional immunoglobulinn kappa variable 1-37 	UP000005640	Homo sapiens	0.27139889743096124	-0.6872314175437186	0.6635320349320502	0.5092933349258847	0.8284897877128707	-5.746500810016219	1.0	0.6586975843547759	0.512170808760386	0.828920406190783
